CITIES
Grand Junction,116,296,,
Delta,216,348,,
Montrose,254,393,,
Saguache,628,458,,
Gunnison,460,378,,
Hotchkiss,286,331,,
Rifle,278,218,,
Cortez,108,580,,
Durango,256,593,,
Telluride,230,482,,
Dove Creek,40,512,,
Naturita,112,435,,
Lake City,374,465,,
Crested Butte,446,328,,
Aspen,486,272,,
Ridgeway,286,448,,
Placerville,222,460,,
Carbondale,396,240,,
Meeker,248,133,,
Rangely,60,125,,
Dinosaur,18,100,,
Craig,326,53,,
Steamboat Springs,478,58,,
Canon City,818,398,,
Poncha Springs,640,386,,
Glenwood Springs,380,217,,
Leadville,592,265,,
South Fork,538,524,,
Monte Vista,628,541,,
Alamosa,686,562,,
Buena Vista,632,338,,
Walden,600,18,,
Kremmling,572,130,,
Empire,726,140,,
Estes Park,762,78,,
Granby,676,126,,
Denver,872,179,,
Balltown,600,299,,
Walsenburg,920,536,,
Pueblo,954,430,,
Colorado Springs,910,335,,
Fairplay,662,268,,
Dillon,646,201,,
Copper Mountain,624,224,,
Wolcott,506,188,,
Vail,558,205,,
South Park,666,318,,
Middle of Nowhere,538,82,,
Longmont,874,112,,
Boulder,810,136,,
Lyons,818,112,,
Fort Collins,850,42,,
Loveland,854,73,,
ROADS
CO 141,Grand Junction,Naturita,107,212
US 50,Grand Junction,Delta,43,57
US 50,Delta,Montrose,23,30
US 50,Montrose,Gunnison,65,76
I-70,Grand Junction,Rifle,67,69
CO 139,Grand Junction,Rangely,88,270
CO 92,Delta,Hotchkiss,20,40
CO 141,Naturita,Placerville,37,75
CO 62,Placerville,Ridgeway,23,45
CO 145,Placerville,Telluride,16,33
US 550,Montrose,Ridgeway,27,33
US 550,Ridgeway,Durango,82,97
CO 133,Hotchkiss,Carbondale,66,134
CO 92,Hotchkiss,Gunnison,79,137
CO 135,Gunnison,Crested Butte,27,69
CO 114,Gunnison,Saguache,70,134
CO 149,Gunnison,Lake City,55,103
CO 149,Lake City,South Fork,70,143
US 160,South Fork,Durango,103,117
US 160,Durango,Cortez,46,55
US 491,Cortez,Dove Creek,35,40
CO 141,Dove Creek,Naturita,62,126
CO 145,Cortez,Telluride,76,155
I-70,Denver,Empire,46,47
I-70,Empire,Dillon,26,30
I-70,Dillon,Copper Mountain,10,10
I-70,Copper Mountain,Vail,25,25
I-70,Vail,Wolcott,20,21
I-70,Wolcott,Glenwood Springs,41,43
I-70,Glenwood Springs,Rifle,28,29
US 285,Saguache,Poncha Springs,40,44
US 285,Saguache,Monte Vista,35,39
US 285,Monte Vista,Alamosa,17,23
US 160,Monte Vista,South Fork,30,33
US 160,Alamosa,Walsenburg,73,86
I-25,Walsenburg,Pueblo,49,44
I-25,Pueblo,Colorado Springs,44,43
I-25,Colorado Springs,Denver,73,75
I-25,Denver,Longmont,28,28
I-25,Longmont,Loveland,26,23
I-25,Loveland,Fort Collins,16,13
CO 14,Fort Collins,Walden,103,201
CO 125,Walden,Granby,57,112
CO 14,Walden,Middle of Nowhere,34,69
US 40,Middle of Nowhere,Steamboat Springs,21,22
US 40,Steamboat Springs,Craig,46,54
US 40,Craig,Dinosaur,86,97
CO 64,Dinosaur,Rangely,20,38
CO 64,Rangely,Meeker,53,107
CO 13,Meeker,Craig,50,67
CO 13,Meeker,Rifle,40,63
CO 131,Steamboat Springs,Wolcott,69,140
US 40,Steamboat Springs,Kremmling,28,30
CO 9,Kremmling,Dillon,38,75
CO 9,Dillon,Fairplay,35,69
US 285,Fairplay,South Park,21,24
US 285,South Park,Buena Vista,14,16
US 285,Buena Vista,Poncha Springs,20,21
US 24,South Park,Colorado Springs,76,91
CO 82,Carbondale,Aspen,27,43
CO 82,Aspen,Balltown,41,80
US 24,Balltown,Leadville,15,16
US 24,Leadville,Vail,32,37
CO 91,Leadville,Copper Mountain,24,38
US 50,Gunnison,Poncha Springs,59,66
US 50,Poncha Springs,Canon City,61,70
US 50,Canon City,Pueblo,32,40
CO 115,Canon City,Colorado Springs,42,75
US 24,Balltown,Buena Vista,22,24
CO 82,Glenwood Springs,Carbondale,12,20
CO 17,Poncha Springs,Alamosa,79,137
US 40,Middle of Nowhere,Granby,54,59
US 40,Granby,Empire,46,51
US 36,Granby,Estes Park,80,93
US 36,Lyons,Estes Park,22,26
US 34,Estes Park,Loveland,31,39
CO 66,Lyons,Longmont,16,33
US 36,Lyons,Boulder,16,24
US 36,Boulder,Denver,23,25
CO 119,Boulder,Empire,47,90
US 285,Denver,Fairplay,90,101
Pearl Pass Jeep Road,Crested Butte,Aspen,37,240
US 40,Kremmling,Granby,26,28
